{000204EF-0000-0000-C000-000000000046},4,2
{4AFFC9A0-5F99-101B-AF4E-00AA003F0F07},9,0
{00020430-0000-0000-C000-000000000046},2,0
{0D452EE1-E08F-101A-852E-02608C4D0BB4},2,0
{831FDD16-0C5C-11D2-A9FC-0000F8754DA1},2,2
{2DF8D04C-5BFA-101B-BDE5-00AA0044DE52},2,7
{00020905-0000-0000-C000-000000000046},8,6
{420B2830-E718-11CF-893D-00A0C9054228},1,0
{0002E157-0000-0000-C000-000000000046},5,3
{00000206-0000-0010-8000-00AA006D2EA4},2,6
{4AC9E1DA-5BAD-4AC7-86E3-24F4CDCECA28},12,0
{00062FFF-0000-0000-C000-000000000046},9,5
